RPI3B+,O3,SMI,8,RGB565,8,0.211190636,0.030511,4.735058,4.965069
RPI3B+,O3,SMI,8,RGB565,16,0.090581250,0.001430,11.039812,11.576082
RPI3B+,O3,SMI,8,RGB565,32,0.044614344,0.000430,22.414316,23.503114
RPI3B+,O3,SMI,8,RGB565,64,0.022078927,0.000071,45.292056,47.492163
RPI3B+,O3,SMI,8,RGB565,128,0.011226927,0.000190,89.071567,93.398308
RPI3B+,O3,SMI,8,RGB565,256,0.005841895,0.000610,171.177320,179.492430
RPI3B+,O3,SMI,8,RGB565,512,0.003001531,0.000423,333.163287,349.347027
RPI3B+,O3,SMI,8,RGB565,1024,0.001400104,0.000037,714.232657,748.927223
RPI3B+,O3,SMI,8,RGB565,2048,0.000710833,0.000030,1406.799399,1475.136087
RPI3B+,O3,SMI,8,RGB565,4096,0.000365427,0.000031,2736.523171,2869.452520
RPI3B+,O3,SMI,8,RGB565,8192,0.000190750,0.000023,5242.463958,5497.121887
RPI3B+,O3,SMI,8,RGB565,16384,0.000106114,0.000011,9423.791681,9881.561786
RPI3B+,O3,SMI,8,RGB565,32768,0.000054448,0.000009,18366.214980,19258.372239
RPI3B+,O3,SMI,8,RGB565,65536,0.000027771,0.000004,36009.045472,37758.220865
RPI3B+,O3,SMI,8,RGB565,131072,0.000013656,0.000004,73225.740312,76782.753874
RPI3B+,O3,SMI,8,RGB565,262144,0.000005771,0.000001,173280.194074,181697.452781
RPI3B+,O3,SMI,8,RGB565,524288,0.000003823,0.000001,261574.679571,274280.931206
RPI3B+,O3,SMI,8,RGB565,1048576,0.000004959,0.000006,201669.826161,211466.139636
RPI3B+,O3,SMI,8,RGB565,8,0.243298698,0.002967,4.110174,4.309830
RPI3B+,O3,SMI,8,RGB565,16,0.144027583,0.002514,6.943114,7.280383
RPI3B+,O3,SMI,8,RGB565,32,0.093417656,0.000572,10.704615,11.224602
RPI3B+,O3,SMI,8,RGB565,64,0.067313989,0.000566,14.855753,15.577386
RPI3B+,O3,SMI,8,RGB565,128,0.054616448,0.000135,18.309503,19.198905
RPI3B+,O3,SMI,8,RGB565,256,0.045576573,0.000291,21.941097,23.006908
RPI3B+,O3,SMI,8,RGB565,512,0.038240031,0.000697,26.150606,27.420898
RPI3B+,O3,SMI,8,RGB565,1024,0.035468489,0.000657,28.194040,29.563593
RPI3B+,O3,SMI,8,RGB565,2048,0.032928417,0.000114,30.368906,31.844106
RPI3B+,O3,SMI,8,RGB565,4096,0.032815573,0.000212,30.473337,31.953610
RPI3B+,O3,SMI,8,RGB565,8192,0.040222885,0.000144,24.861469,26.069139
RPI3B+,O3,SMI,8,RGB565,16384,0.044245771,0.000512,22.601030,23.698898
RPI3B+,O3,SMI,8,RGB565,32768,0.045860719,0.000253,21.805153,22.864360
RPI3B+,O3,SMI,8,RGB565,65536,0.046963021,0.000249,21.293349,22.327695
RPI3B+,O3,SMI,8,RGB565,131072,0.053761511,0.010601,18.600668,19.504214
RPI3B+,O3,SMI,8,RGB565,262144,0.047194771,0.000291,21.188788,22.218055
RPI3B+,O3,SMI,8,RGB565,524288,0.048134459,0.000321,20.775138,21.784311
RPI3B+,O3,SMI,8,RGB565,1048576,0.049436448,0.001093,20.227991,21.210585
RPI3B+,O3,SMI,8,RGB565,8,0.301009438,0.008828,3.322155,3.483532
RPI3B+,O3,SMI,8,RGB565,16,0.186238229,0.000812,5.369467,5.630294
RPI3B+,O3,SMI,8,RGB565,32,0.132800927,0.000707,7.530068,7.895848
RPI3B+,O3,SMI,8,RGB565,64,0.108302875,0.001925,9.233365,9.681885
RPI3B+,O3,SMI,8,RGB565,128,0.096660927,0.000377,10.345442,10.847982
RPI3B+,O3,SMI,8,RGB565,256,0.082627937,0.000222,12.102444,12.690333
RPI3B+,O3,SMI,8,RGB565,512,0.067252812,0.000596,14.869267,15.591556
RPI3B+,O3,SMI,8,RGB565,1024,0.059903209,0.000533,16.693597,17.504505
RPI3B+,O3,SMI,8,RGB565,2048,0.057561698,0.000887,17.372663,18.216558
RPI3B+,O3,SMI,8,RGB565,4096,0.054700385,0.000392,18.281407,19.169445
RPI3B+,O3,SMI,8,RGB565,8192,0.053222312,0.000253,18.789112,19.701812
RPI3B+,O3,SMI,8,RGB565,16384,0.052268063,0.000128,19.132142,20.061505
RPI3B+,O3,SMI,8,RGB565,32768,0.052097666,0.000311,19.194718,20.127120
RPI3B+,O3,SMI,8,RGB565,65536,0.051764365,0.000109,19.318309,20.256715
RPI3B+,O3,SMI,8,RGB565,131072,0.052729750,0.002857,18.964626,19.885852
RPI3B+,O3,SMI,8,RGB565,262144,0.054191760,0.001173,18.452990,19.349362
RPI3B+,O3,SMI,8,RGB565,524288,0.052018614,0.000247,19.223888,20.157707
